         1205465 function calls (1205422 primitive calls) in 23.212 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    0.000    0.000 threading.py:1430(current_thread)
        4    0.000    0.000    0.000    0.000 parse.py:437(urlsplit)
       65    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       26    0.000    0.000    0.001    0.000 iostream.py:456(_schedule_flush)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
       74    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       11    0.000    0.000    0.000    0.000 _weakrefset.py:86(add)
        8    0.000    0.000    0.043    0.005 process.py:153(is_alive)
        9    0.000    0.000    0.048    0.005 util.py:205(__call__)
        4    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        5    0.000    0.000    0.001    0.000 {built-in method builtins.print}
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        8    0.000    0.000    0.001    0.000 process.py:61(_cleanup)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      8/4    0.000    0.000    0.020    0.005 <frozen importlib._bootstrap>:1022(_find_and_load)
       54    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      108    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      7/1    0.000    0.000   23.212   23.212 {built-in method builtins.exec}
       54    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
       32    0.000    0.000    0.000    0.000 threading.py:1145(ident)
       11    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       30    0.000    0.000    0.017    0.001 utils.py:55(<lambda>)
        1    0.000    0.000    0.047    0.047 pool.py:680(_terminate_pool)
       78    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.000    0.000 pool.py:471(_map_async)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        8    0.000    0.000    0.000    0.000 {built-in method posix.kill}
      7/4    0.000    0.000    0.018    0.005 <frozen importlib._bootstrap>:664(_load_unlocked)
        3    0.000    0.000    0.003    0.001 threading.py:916(start)
        6    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
      8/4    0.000    0.000    0.019    0.005 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        1    0.000    0.000    0.006    0.006 connection.py:1(<module>)
       63    0.000    0.000    0.000    0.000 threading.py:553(is_set)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:69(_wrapreduction)
       19    0.000    0.000    0.000    0.000 threading.py:273(_release_save)
        8    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
