         1237826 function calls (1236910 primitive calls) in 26.368 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      323    0.001    0.000    0.001    0.000 {built-in method time.time}
      600    0.001    0.000    0.001    0.000 stride_tricks.py:345(<genexpr>)
      122    0.001    0.000    0.009    0.000 iostream.py:456(_schedule_flush)
      100    0.001    0.000    0.008    0.000 stride_tricks.py:546(<listcomp>)
      310    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      203    0.001    0.000    0.002    0.000 _methods.py:54(_any)
      100    0.000    0.000    0.697    0.007 <__array_function__ internals>:177(meshgrid)
      508    0.000    0.000    0.000    0.000 {built-in method builtins.divmod}
      205    0.000    0.000    0.000    0.000 fromnumeric.py:70(<dictcomp>)
      100    0.000    0.000    0.000    0.000 util.py:522(convert_bool_list)
      122    0.000    0.000    0.001    0.000 iostream.py:437(_is_master_process)
      102    0.000    0.000    0.001    0.000 std.py:155(__init__)
      100    0.000    0.000    0.012    0.000 <__array_function__ internals>:177(broadcast_arrays)
      103    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      200    0.000    0.000    0.001    0.000 function_base.py:346(iterable)
      102    0.000    0.000    0.073    0.001 utils.py:341(disp_trim)
      204    0.000    0.000    0.000    0.000 {built-in method builtins.max}
      100    0.000    0.000    0.001    0.000 profile_list_base.py:230(_bool_list)
      417    0.000    0.000    0.000    0.000 threading.py:553(is_set)
      100    0.000    0.000    0.001    0.000 stride_tricks.py:538(<listcomp>)
      203    0.000    0.000    0.000    0.000 fromnumeric.py:3121(ndim)
      104    0.000    0.000    0.001    0.000 threading.py:1430(current_thread)
      204    0.000    0.000    0.000    0.000 {method 'astype' of 'numpy.ndarray' objects}
      222    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      104    0.000    0.000    0.001    0.000 threading.py:276(_acquire_restore)
      416    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        3    0.000    0.000    0.000    0.000 function_base.py:561(asarray_chkfinite)
      104    0.000    0.000    0.000    0.000 threading.py:267(__exit__)
      208    0.000    0.000    0.000    0.000 threading.py:1145(ident)
      208    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      200    0.000    0.000    0.000    0.000 multiarray.py:80(empty_like)
      200    0.000    0.000    0.000    0.000 stride_tricks.py:542(<genexpr>)
      104    0.000    0.000    0.000    0.000 threading.py:264(__enter__)
      122    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      203    0.000    0.000    0.000    0.000 fromnumeric.py:3117(_ndim_dispatcher)
      200    0.000    0.000    0.000    0.000 stride_tricks.py:25(_maybe_view_as_subclass)
      200    0.000    0.000    0.000    0.000 {method '__exit__' of 'numpy.nditer' objects}
