         3132994 function calls (3026944 primitive calls) in 45.850 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
7254/4832    0.024    0.000    0.028    0.000 {built-in method _abc._abc_subclasscheck}
18637/18439    0.023    0.000    0.116    0.000 {built-in method builtins.hasattr}
        2    0.023    0.011    0.023    0.011 {built-in method _imp.create_dynamic}
 2320/570    0.023    0.000    0.316    0.001 context.py:428(install_registry)
     3244    0.022    0.000    0.035    0.000 values.py:564(_get_reference)
       83    0.022    0.000    0.115    0.001 feedparser.py:218(_parsegen)
       73    0.022    0.000    0.022    0.000 {built-in method io.open_code}
      392    0.022    0.000    0.444    0.001 values.py:1139(descr)
      509    0.022    0.000    0.066    0.000 builder.py:769(store)
  219/217    0.021    0.000    1.005    0.005 functions.py:281(get_call_type)
        1    0.021    0.021    6.508    6.508 utils.py:28(F_tilde_extend)
     7712    0.020    0.000    0.020    0.000 event.py:138(is_start)
     7124    0.019    0.000    0.025    0.000 feedparser.py:78(readline)
     3856    0.019    0.000    0.030    0.000 event.py:270(on_end)
      241    0.019    0.000    0.082    0.000 numpy_support.py:357(ufunc_find_matching_loop)
     7124    0.019    0.000    0.044    0.000 feedparser.py:128(__next__)
      113    0.019    0.000    0.125    0.001 passmanagers.py:283(run)
     1191    0.018    0.000    0.071    0.000 context.py:542(_rate_arguments)
     8544    0.018    0.000    0.018    0.000 _utils.py:13(is_used)
    16253    0.017    0.000    0.017    0.000 {method 'copy' of 'dict' objects}
      604    0.017    0.000    0.088    0.000 utils.py:311(order_by_target_specificity)
     3179    0.017    0.000    0.229    0.000 ffi.py:73(__exit__)
     1752    0.017    0.000    0.140    0.000 base.py:355(install_registry)
       39    0.017    0.000    0.076    0.002 postproc.py:178(_patch_var_dels)
        2    0.017    0.008    0.017    0.008 {method 'close' of '_io.TextIOWrapper' objects}
      175    0.017    0.000    0.021    0.000 types.py:423(wrap_constant_value)
     1337    0.017    0.000    0.023    0.000 functions.py:245(__init__)
     2367    0.016    0.000    0.051    0.000 weakref.py:415(__getitem__)
        1    0.016    0.016   45.858   45.858 amplification_factor.py:65(integrator)
     4061    0.016    0.000    0.026    0.000 ir.py:1221(find_insts)
        1    0.016    0.016    0.016    0.016 synchronize.py:50(__init__)
     3247    0.015    0.000    0.020    0.000 builder.py:351(_insert)
     3179    0.015    0.000    0.161    0.000 base.py:1246(enter_fn)
    17164    0.015    0.000    0.015    0.000 {built-in method builtins.iter}
     3642    0.015    0.000    0.015    0.000 {method 'acquire' of '_thread.RLock' objects}
9335/8095    0.015    0.000    0.022    0.000 {built-in method builtins.hash}
     5660    0.015    0.000    0.374    0.000 ir.py:346(list_vars)
      207    0.014    0.000    0.014    0.000 {built-in method numpy.arange}
7254/4832    0.014    0.000    0.038    0.000 abc.py:121(__subclasscheck__)
      764    0.014    0.000    0.046    0.000 templates.py:887(make_overload_template)
      612    0.014    0.000    0.039    0.000 {built-in method builtins.__build_class__}
      128    0.014    0.000    0.096    0.001 context.py:592(resolve_overload)
1537/1489    0.014    0.000    0.040    0.000 values.py:445(__init__)
3116/2760    0.014    0.000    0.067    0.000 contextlib.py:139(__exit__)
      117    0.013    0.000    0.041    0.000 analysis.py:118(compute_dead_maps)
    11944    0.013    0.000    0.013    0.000 abstract.py:95(key)
     3856    0.013    0.000    0.028    0.000 event.py:265(on_start)
     1814    0.013    0.000    0.043    0.000 abstract.py:48(_intern)
    11746    0.013    0.000    0.013    0.000 {built-in method builtins.id}
      314    0.013    0.000    0.013    0.000 socket.py:545(send)
     6630    0.013    0.000    0.013    0.000 cpu_options.py:123(<genexpr>)
    11963    0.012    0.000    0.012    0.000 {method 'values' of 'dict' objects}
     1966    0.012    0.000    0.032    0.000 typeconv.py:40(check_compatible)
1814/1812    0.012    0.000    0.093    0.000 abstract.py:60(__call__)
       69    0.012    0.000    0.033    0.000 module.py:189(functions)
     3116    0.012    0.000    0.041    0.000 contextlib.py:279(helper)
      219    0.012    0.000    0.648    0.003 cpu.py:68(load_additional_registries)
        1    0.012    0.012    0.861    0.861 utils.py:62(iwFourier)
      102    0.011    0.000    0.150    0.001 std.py:355(format_meter)
3116/2743    0.011    0.000    0.181    0.000 contextlib.py:130(__enter__)
     3179    0.011    0.000    0.206    0.000 base.py:1249(exit_fn)
   457/54    0.011    0.000    4.867    0.090 lowering.py:433(lower_inst)
  863/538    0.011    0.000    0.400    0.001 functools.py:961(__get__)
      312    0.011    0.000    0.046    0.000 analysis.py:235(compute_cfg_from_blocks)
  694/397    0.010    0.000    0.086    0.000 context.py:319(get_meminfos)
2671/2561    0.010    0.000    0.042    0.000 {built-in method builtins.any}
     2513    0.010    0.000    0.032    0.000 numpy_support.py:339(ufunc_can_cast)
      238    0.010    0.000    0.148    0.001 npydecl.py:98(generic)
      392    0.010    0.000    0.415    0.001 values.py:1141(<listcomp>)
      592    0.010    0.000    0.020    0.000 instructions.py:657(descr)
  175/173    0.010    0.000    0.952    0.006 typeinfer.py:580(resolve)
     1137    0.010    0.000    0.029    0.000 base.py:122(_match)
     2045    0.009    0.000    0.012    0.000 registry.py:95(__getitem__)
       26    0.009    0.000    0.029    0.001 feedparser.py:471(_parse_headers)
     2507    0.009    0.000    0.022    0.000 <__array_function__ internals>:177(can_cast)
1369/1356    0.009    0.000    0.025    0.000 values.py:455(_get_reference)
2282/2275    0.009    0.000    0.049    0.000 context.py:517(can_convert)
     1989    0.009    0.000    0.063    0.000 cpu_options.py:16(__repr__)
     3189    0.009    0.000    0.011    0.000 _utils.py:71(_stringify_metadata)
      663    0.009    0.000    0.015    0.000 cpu_options.py:115(<dictcomp>)
     7696    0.009    0.000    0.009    0.000 event.py:108(kind)
      890    0.009    0.000    0.016    0.000 functions.py:78(add_error)
      880    0.009    0.000    0.029    0.000 types.py:77(__call__)
        2    0.009    0.004    0.009    0.004 function_base.py:1799(trim_zeros)
     3052    0.009    0.000    0.198    0.000 ir.py:594(list_vars)
      200    0.008    0.000    0.012    0.000 stride_tricks.py:340(_broadcast_to)
      764    0.008    0.000    0.094    0.000 extending.py:127(decorate)
     1182    0.008    0.000    0.008    0.000 {built-in method _abc._abc_init}
     1015    0.008    0.000    0.044    0.000 base.py:102(_match_arglist)
       61    0.008    0.000    0.022    0.000 compiler_machinery.py:370(dependency_analysis)
      180    0.008    0.000    0.046    0.000 instructions.py:65(__init__)
       58    0.008    0.000    0.010    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      932    0.008    0.000    0.013    0.000 _policybase.py:293(header_source_parse)
      491    0.008    0.000    0.034    0.000 values.py:1071(__init__)
     5928    0.008    0.000    0.008    0.000 {method 'rstrip' of 'str' objects}
     5690    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
      720    0.008    0.000    0.020    0.000 numpy_support.py:125(as_dtype)
     2163    0.008    0.000    0.013    0.000 misc.py:52(unliteral)
     4985    0.008    0.000    0.008    0.000 compiler.py:368(__getattr__)
     1884    0.007    0.000    0.011    0.000 errors.py:803(new_error_context)
      262    0.007    0.000    0.093    0.000 builder.py:297(if_then)
      252    0.007    0.000    0.011    0.000 analysis.py:81(def_reach)
     1338    0.007    0.000    0.011    0.000 controlflow.py:381(_dfs)
  987/983    0.007    0.000    0.745    0.001 templates.py:349(apply)
      592    0.007    0.000    0.074    0.000 builder.py:967(extract_value)
     1824    0.007    0.000    0.018    0.000 target_extension.py:14(__getitem__)
       43    0.007    0.000    0.009    0.000 packer.py:132(argument_types)
      180    0.007    0.000    0.011    0.000 analysis.py:91(liveness)
     4110    0.007    0.000    0.007    0.000 controlflow.py:116(successors)
      444    0.007    0.000    0.025    0.000 instructions.py:410(__init__)
      175    0.007    0.000    0.010    0.000 templates.py:1151(make_overload_attribute_template)
2067/2048    0.007    0.000    0.059    0.000 manager.py:22(lookup)
     5405    0.007    0.000    0.007    0.000 builder.py:195(block)
      317    0.007    0.000    0.020    0.000 interpreter.py:1662(store)
     1279    0.007    0.000    0.037    0.000 ssa.py:190(_run_ssa_block_pass)
       26    0.007    0.000    0.281    0.011 registry.py:54(apply)
     7570    0.007    0.000    0.007    0.000 {method 'popleft' of 'collections.deque' objects}
      232    0.007    0.000    0.316    0.001 context.py:700(load_additional_registries)
      156    0.007    0.000    0.012    0.000 message.py:462(get)
     3179    0.007    0.000    0.007    0.000 ffi.py:93(__getattr__)
      609    0.007    0.000    0.008    0.000 {method 'sub' of 're.Pattern' objects}
      114    0.007    0.000    0.022    0.000 values.py:806(descr)
     1752    0.007    0.000    0.035    0.000 base.py:371(insert_func_defn)
     1453    0.007    0.000    0.010    0.000 typeinfer.py:911(__getitem__)
      483    0.007    0.000    0.085    0.000 value.py:143(name)
      195    0.007    0.000    0.023    0.000 inspect.py:2276(_signature_from_function)
      666    0.007    0.000    0.016    0.000 analysis.py:66(fix_point_progress)
      160    0.007    0.000    0.007    0.000 {method '__exit__' of '_io._IOBase' objects}
     3196    0.006    0.000    0.010    0.000 ir.py:251(__hash__)
     1182    0.006    0.000    0.045    0.000 abc.py:105(__new__)
     2157    0.006    0.000    0.009    0.000 ir.py:379(__getattr__)
      491    0.006    0.000    0.018    0.000 values.py:1058(_to_list)
      500    0.006    0.000    0.017    0.000 values.py:507(__hash__)
      509    0.006    0.000    0.019    0.000 instructions.py:435(descr)
     3399    0.006    0.000    0.009    0.000 analysis.py:69(<genexpr>)
      656    0.006    0.000    0.037    0.000 event.py:422(trigger_event)
     1996    0.006    0.000    0.016    0.000 types.py:30(__ne__)
     2376    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
      133    0.006    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1536(find_spec)
     3856    0.006    0.000    0.006    0.000 event.py:148(is_end)
      567    0.006    0.000    0.010    0.000 context.py:52(__getitem__)
      344    0.006    0.000    0.527    0.002 pprint.py:205(_pprint_dict)
