         3132994 function calls (3026944 primitive calls) in 45.850 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      352    0.001    0.000    0.001    0.000 context.py:484(_remove_global)
        6    0.001    0.000    0.001    0.000 numpy_support.py:204(map_arrayscalar_type)
       44    0.001    0.000    0.007    0.000 values.py:70(wrapped)
    13/12    0.001    0.000    1.108    0.092 typed_passes.py:61(type_inference_stage)
      174    0.001    0.000    0.001    0.000 builder.py:211(module)
       83    0.001    0.000    0.116    0.001 feedparser.py:178(_call_parse)
       59    0.001    0.000    0.529    0.009 module.py:233(__repr__)
      241    0.001    0.000    0.001    0.000 ufunc_db.py:32(get_ufunc_info)
       10    0.001    0.000    4.358    0.436 base.py:809(_compile_subroutine_no_cache)
      114    0.001    0.000    0.012    0.000 callconv.py:530(type_may_always_need_nrt)
  209/173    0.001    0.000    0.911    0.005 context.py:189(resolve_function_type)
       39    0.001    0.000    0.007    0.000 cgutils.py:689(<listcomp>)
     1233    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
      465    0.001    0.000    0.001    0.000 typeinfer.py:523(<genexpr>)
       38    0.001    0.000    0.057    0.002 base.py:415(declare_function)
      803    0.001    0.000    0.001    0.000 abstract.py:154(is_precise)
      424    0.001    0.000    0.001    0.000 inspect.py:191(isclass)
       26    0.001    0.000    0.015    0.001 untyped_passes.py:162(run_pass)
      246    0.001    0.000    0.003    0.000 context.py:408(_get_global_type)
        7    0.001    0.000    0.002    0.000 enum.py:222(<setcomp>)
       24    0.001    0.000    0.052    0.002 lowering.py:866(lower_call)
      117    0.001    0.000    0.034    0.000 transforms.py:353(canonicalize_cfg)
      175    0.001    0.000    0.002    0.000 typeinfer.py:515(<listcomp>)
       20    0.001    0.000    0.002    0.000 enum.py:980(__or__)
      226    0.001    0.000    0.001    0.000 npydecl.py:191(ufunc)
      101    0.001    0.000    0.001    0.000 {built-in method now}
      203    0.001    0.000    0.004    0.000 _methods.py:54(_any)
      153    0.001    0.000    0.001    0.000 common.py:4(_encode_string)
    73/42    0.001    0.000    0.723    0.017 <frozen importlib._bootstrap_external>:877(exec_module)
       76    0.001    0.000    0.009    0.000 instructions.py:213(descr)
      173    0.001    0.000    0.001    0.000 pathlib.py:608(_format_parsed_parts)
       13    0.001    0.000    0.016    0.001 compiler.py:615(define_untyped_pipeline)
      328    0.001    0.000    0.002    0.000 abstract.py:123(__ne__)
       30    0.001    0.000    0.002    0.000 instructions.py:292(__init__)
       52    0.001    0.000    0.013    0.000 overload_glue.py:80(inner)
      223    0.001    0.000    0.009    0.000 overload_glue.py:243(__call__)
       59    0.001    0.000    0.525    0.009 module.py:207(_get_body_lines)
      648    0.001    0.000    0.001    0.000 inspect.py:2680(name)
      169    0.001    0.000    0.011    0.000 controlflow.py:205(_back_edges)
      195    0.001    0.000    0.033    0.000 inspect.py:3245(signature)
      552    0.001    0.000    0.001    0.000 misc.py:117(key)
      451    0.001    0.000    0.001    0.000 sre_parse.py:234(__next)
       57    0.001    0.000    0.005    0.000 values.py:31(_escape_string)
     13/2    0.001    0.000    4.871    2.435 lowering.py:231(lower_function_body)
       44    0.001    0.000    0.004    0.000 cgutils.py:44(make_bytearray)
       94    0.001    0.000    0.009    0.000 typed_passes.py:606(get_func_type)
       26    0.001    0.000    0.007    0.000 passmanagers.py:45(dump_refprune_stats)
       13    0.001    0.000    0.024    0.002 codegen.py:1013(scan_unresolved_symbols)
      323    0.001    0.000    0.001    0.000 {built-in method time.time}
      728    0.001    0.000    0.001    0.000 ffi.py:304(_dispose)
      100    0.001    0.000    0.013    0.000 stride_tricks.py:546(<listcomp>)
      127    0.001    0.000    0.002    0.000 posixpath.py:117(splitext)
       45    0.001    0.000    0.001    0.000 interpreter.py:791(find_postive_region)
      111    0.001    0.000    0.001    0.000 interpreter.py:53(assign)
   107/28    0.001    0.000    0.001    0.000 sre_parse.py:175(getwidth)
       13    0.001    0.000    0.006    0.000 types.py:512(format_constant)
      304    0.001    0.000    0.001    0.000 llvm_pass_timings.py:285(record)
       13    0.001    0.000    0.028    0.002 codegen.py:773(_verify_declare_only_symbols)
       13    0.001    0.000    0.002    0.000 untyped_passes.py:1577(run_pass)
      124    0.001    0.000    0.053    0.000 __init__.py:629(entry_points)
      214    0.001    0.000    0.001    0.000 templates.py:281(get_impl_key)
      260    0.001    0.000    0.010    0.000 __init__.py:389(<genexpr>)
      195    0.001    0.000    0.033    0.000 inspect.py:2991(from_callable)
       43    0.001    0.000    0.028    0.001 callconv.py:493(get_function_type)
      258    0.001    0.000    0.001    0.000 ir_utils.py:2349(is_pop_block)
       13    0.001    0.000    0.024    0.002 codegen.py:767(_finalize_dynamic_globals)
       97    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
      389    0.001    0.000    0.001    0.000 sre_parse.py:255(get)
       76    0.001    0.000    0.001    0.000 ir.py:945(__repr__)
      161    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
      336    0.001    0.000    0.001    0.000 ssa.py:262(on_assign)
       38    0.001    0.000    0.114    0.003 ir_print.py:11(match)
      106    0.001    0.000    0.004    0.000 threading.py:545(__init__)
    50/34    0.001    0.000    0.631    0.019 {built-in method builtins.__import__}
       26    0.001    0.000    0.001    0.000 inline_closurecall.py:294(__init__)
       13    0.001    0.000    0.027    0.002 codegen.py:1032(scan_defined_symbols)
       32    0.001    0.000    0.002    0.000 pythonapi.py:36(lookup)
      205    0.001    0.000    0.001    0.000 fromnumeric.py:70(<dictcomp>)
      127    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
       73    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
       13    0.001    0.000    0.063    0.005 lowering.py:29(__init__)
      130    0.001    0.000    0.001    0.000 iostream.py:437(_is_master_process)
      613    0.001    0.000    0.001    0.000 models.py:89(traverse)
       24    0.001    0.000    0.047    0.002 lowering.py:1108(_lower_call_normal)
        7    0.001    0.000    0.110    0.016 ir.py:111(strformat)
      325    0.001    0.000    0.001    0.000 controlflow.py:132(set_entry_point)
      136    0.001    0.000    0.002    0.000 __init__.py:420(_make)
      298    0.001    0.000    0.001    0.000 posixpath.py:41(_get_sep)
      614    0.001    0.000    0.001    0.000 typeinfer.py:114(defined)
       76    0.001    0.000    0.008    0.000 builder.py:858(ret)
      319    0.001    0.000    0.001    0.000 targetconfig.py:201(is_set)
      199    0.001    0.000    0.001    0.000 ir.py:1239(prepend)
      220    0.001    0.000    0.008    0.000 models.py:101(<listcomp>)
      290    0.001    0.000    0.002    0.000 abstract.py:439(literal_type)
       34    0.001    0.000    0.001    0.000 posixpath.py:71(join)
      276    0.001    0.000    0.002    0.000 packer.py:137(<genexpr>)
      394    0.001    0.000    0.001    0.000 types.py:359(__getitem__)
       18    0.001    0.000    0.043    0.002 codegen.py:1230(_function_pass_manager)
       25    0.001    0.000    0.031    0.001 callconv.py:455(return_status_propagate)
      729    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      617    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.lock' objects}
       21    0.001    0.000    0.061    0.003 npyimpl.py:161(_prepare_argument)
       26    0.001    0.000    0.128    0.005 parser.py:59(parsestr)
      108    0.001    0.000    0.002    0.000 ir.py:196(short)
      238    0.001    0.000    0.009    0.000 numpy_support.py:327(numpy_outputs)
       16    0.001    0.000    0.008    0.001 cgutils.py:736(get_item_pointer2)
      415    0.001    0.000    0.001    0.000 transforms.py:37(visit_Instruction)
        1    0.001    0.001    0.002    0.002 plyparser.py:86(template)
      238    0.001    0.000    0.008    0.000 numpy_support.py:329(<listcomp>)
      366    0.001    0.000    0.001    0.000 types.py:340(__str__)
       78    0.001    0.000    0.005    0.000 templates.py:1009(make_intrinsic_template)
      124    0.001    0.000    0.003    0.000 __init__.py:943(_name_from_stem)
      330    0.001    0.000    0.001    0.000 interpreter.py:73(get_assignment_source)
      508    0.001    0.000    0.001    0.000 {built-in method builtins.divmod}
      723    0.001    0.000    0.001    0.000 compiler_machinery.py:143(get_required_set)
        2    0.001    0.000    0.001    0.001 pythonapi.py:228(incref)
      125    0.001    0.000    0.239    0.002 __init__.py:1006(<genexpr>)
     81/1    0.001    0.000   45.858   45.858 {built-in method builtins.exec}
      536    0.001    0.000    0.001    0.000 controlflow.py:602(<listcomp>)
       31    0.001    0.000    0.018    0.001 targets.py:9(get_process_triple)
       30    0.001    0.000    0.003    0.000 instructions.py:310(descr)
      402    0.001    0.000    0.001    0.000 ir.py:384(__setattr__)
      301    0.001    0.000    0.001    0.000 abstract.py:27(_on_type_disposal)
       27    0.001    0.000    0.002    0.000 untyped_passes.py:332(_do_work)
       24    0.001    0.000    0.132    0.005 base.py:884(call_internal)
      124    0.001    0.000    0.097    0.001 templates.py:481(apply)
      226    0.001    0.000    0.001    0.000 utils.py:339(<listcomp>)
      108    0.001    0.000    0.001    0.000 module.py:215(__init__)
       33    0.001    0.000    0.001    0.000 functools.py:660(_c3_merge)
      117    0.001    0.000    0.015    0.000 transforms.py:306(yield_loops_with_multiple_backedges)
       75    0.001    0.000    0.032    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      113    0.001    0.000    0.002    0.000 values.py:887(__init__)
      102    0.001    0.000    0.001    0.000 std.py:155(__init__)
      237    0.001    0.000    0.001    0.000 typeinfer.py:44(__init__)
      457    0.001    0.000    0.001    0.000 inline_closurecall.py:1495(<listcomp>)
       26    0.001    0.000    0.128    0.005 parser.py:41(parse)
      190    0.001    0.000    0.001    0.000 types.py:137(gep)
      237    0.001    0.000    0.001    0.000 byteflow.py:241(_is_implicit_new_block)
      225    0.001    0.000    0.002    0.000 values.py:1081(add_attribute)
      204    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
       70    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      611    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
      491    0.001    0.000    0.001    0.000 values.py:1031(align)
      142    0.001    0.000    0.001    0.000 instructions.py:26(module)
      198    0.001    0.000    0.001    0.000 templates.py:1238(register_attr)
      102    0.001    0.000    0.093    0.001 utils.py:341(disp_trim)
      229    0.001    0.000    0.002    0.000 target_extension.py:46(current_target)
       77    0.001    0.000    0.001    0.000 pythonapi.py:27(register)
       38    0.001    0.000    0.001    0.000 typed_passes.py:838(<listcomp>)
      173    0.001    0.000    0.001    0.000 pathlib.py:600(_from_parsed_parts)
       21    0.001    0.000    0.014    0.001 builder.py:47(wrapped)
      136    0.001    0.000    0.002    0.000 __init__.py:430(_replace)
   114/74    0.001    0.000    0.005    0.000 itanium_mangler.py:127(mangle_type_or_value)
       13    0.001    0.000    0.187    0.014 typed_passes.py:219(run_pass)
       96    0.001    0.000    0.001    0.000 {method '__reduce_ex__' of 'object' objects}
      615    0.001    0.000    0.001    0.000 interpreter.py:1614(current_scope)
      210    0.001    0.000    0.001    0.000 context.py:497(insert_attributes)
       26    0.001    0.000    0.170    0.007 __init__.py:597(metadata)
       16    0.001    0.000    0.030    0.002 arrayobj.py:92(shape)
      190    0.001    0.000    0.001    0.000 ssa.py:248(on_assign)
      279    0.001    0.000    0.001    0.000 bytecode.py:67(__init__)
      221    0.001    0.000    0.003    0.000 target_extension.py:70(resolve_target_str)
       28    0.001    0.000    0.025    0.001 typeinfer.py:1557(typeof_global)
      171    0.001    0.000    0.011    0.000 templates.py:1173(make_overload_method_template)
       90    0.001    0.000    0.003    0.000 byteflow.py:348(op_LOAD_FAST)
      104    0.001    0.000    0.001    0.000 threading.py:276(_acquire_restore)
      350    0.001    0.000    0.001    0.000 ir.py:31(__init__)
      240    0.001    0.000    0.001    0.000 ir.py:1118(get_exact)
      491    0.001    0.000    0.001    0.000 values.py:1049(dereferenceable_or_null)
       20    0.001    0.000    0.045    0.002 callwrapper.py:38(cleanup_arg)
      239    0.001    0.000    0.033    0.000 extending.py:138(register_jitable)
       97    0.001    0.000    0.005    0.000 typeinfer.py:1106(copy_type)
       10    0.001    0.000    0.013    0.001 models.py:550(_as)
       13    0.001    0.000    0.002    0.000 dis.py:434(findlabels)
       36    0.001    0.000    0.001    0.000 typeinfer.py:1009(_get_return_vars)
      113    0.001    0.000    0.003    0.000 values.py:1104(__str__)
       24    0.001    0.000    0.083    0.003 base.py:896(call_internal_no_propagate)
        1    0.001    0.001    0.115    0.115 unicode.py:1(<module>)
      124    0.001    0.000    0.001    0.000 __init__.py:387(_parse_groups)
      130    0.001    0.000    0.016    0.000 controlflow.py:270(loops)
       27    0.001    0.000    0.003    0.000 models.py:715(<listcomp>)
      200    0.001    0.000    0.001    0.000 function_base.py:346(iterable)
      360    0.001    0.000    0.001    0.000 ast.py:247(iter_fields)
      419    0.001    0.000    0.001    0.000 compiler.py:374(__setattr__)
      483    0.001    0.000    0.001    0.000 errors.py:196(errmsg)
      124    0.001    0.000    0.002    0.000 __init__.py:383(_from_text)
      605    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
       13    0.001    0.000    0.001    0.000 typed_passes.py:475(run_pass)
       26    0.001    0.000    0.003    0.000 analysis.py:304(find_branches)
        2    0.001    0.000    0.244    0.122 dispatcher.py:281(_compilation_chain_init_hook)
      171    0.001    0.000    0.003    0.000 overload_glue.py:256(defer_lowering)
    90/88    0.001    0.000    0.099    0.001 __init__.py:108(import_module)
        5    0.001    0.000    0.006    0.001 pythonapi.py:305(raise_object)
       61    0.001    0.000    0.023    0.000 compiler_machinery.py:246(finalize)
        2    0.001    0.000    0.007    0.003 pythonapi.py:262(unpack_tuple)
      129    0.001    0.000    0.020    0.000 lowering.py:1512(incref)
       56    0.001    0.000    0.001    0.000 byteflow.py:1192(__init__)
      292    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      100    0.001    0.000    0.023    0.000 <__array_function__ internals>:177(broadcast_arrays)
        2    0.001    0.000    0.003    0.001 array_exprs.py:144(_handle_matches)
      321    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
       13    0.001    0.000    0.066    0.005 typed_passes.py:787(run_pass)
      258    0.001    0.000    0.001    0.000 utils.py:246(__len__)
       30    0.001    0.000    0.011    0.000 cgutils.py:656(pack_array)
       68    0.001    0.000    0.017    0.000 base.py:1183(__init__)
      113    0.001    0.000    0.001    0.000 compiler_machinery.py:149(add_required)
       27    0.001    0.000    0.001    0.000 typeinfer.py:1734(typeof_call)
      163    0.001    0.000    0.002    0.000 lowering.py:1389(getvar)
  187/186    0.001    0.000    0.002    0.000 context.py:655(unify_pairs)
       83    0.001    0.000    0.001    0.000 {method 'read' of '_io.StringIO' objects}
       49    0.001    0.000    0.015    0.000 cgutils.py:173(__setitem__)
      235    0.001    0.000    0.001    0.000 targetconfig.py:72(top)
        3    0.001    0.000    0.292    0.097 cpu.py:186(create_cfunc_wrapper)
      156    0.001    0.000    0.041    0.000 typeinfer.py:1471(resolve_value_type)
      276    0.001    0.000    0.001    0.000 ssa.py:345(<listcomp>)
      405    0.001    0.000    0.001    0.000 context.py:17(_require_nrt)
      6/2    0.001    0.000   10.146    5.073 dispatcher.py:915(compile)
      245    0.001    0.000    0.002    0.000 targetconfig.py:75(__len__)
      219    0.001    0.000    0.001    0.000 contextlib.py:426(__exit__)
       43    0.001    0.000    0.002    0.000 callconv.py:98(get_return_type)
        2    0.001    0.000    0.243    0.122 callwrapper.py:126(build_wrapper)
       82    0.001    0.000    0.001    0.000 npyimpl.py:481(register_ufunc_kernel)
        1    0.001    0.001    0.001    0.001 {method 'take' of 'numpy.ndarray' objects}
      169    0.001    0.000    0.001    0.000 controlflow.py:248(entry_point)
        1    0.001    0.001    0.090    0.090 _minpack_py.py:279(leastsq)
       31    0.001    0.000    0.022    0.001 codegen.py:1199(_create_empty_module)
      171    0.001    0.000    0.001    0.000 extending.py:200(_overload_method_common)
       13    0.001    0.000    0.004    0.000 bytecode.py:311(from_function)
       13    0.001    0.000    0.001    0.000 interpreter.py:1366(_legalize_exception_vars)
      156    0.001    0.000    0.003    0.000 ir.py:1131(get_or_define)
       26    0.001    0.000    0.001    0.000 executionengine.py:138(_find_module_ptr)
       13    0.001    0.000    0.001    0.000 controlflow.py:510(_find_dominators_internal)
       13    0.001    0.000    0.004    0.000 ssa.py:101(_iterated_domfronts)
      389    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
    68/40    0.001    0.000    1.197    0.030 base.py:1189(__call__)
       59    0.001    0.000    0.001    0.000 module.py:7(__init__)
       24    0.001    0.000    4.362    0.182 base.py:847(compile_subroutine)
      237    0.001    0.000    0.002    0.000 byteflow.py:1397(has_active_try)
      325    0.001    0.000    0.001    0.000 compiler_machinery.py:69(analysis)
       17    0.001    0.000    0.003    0.000 cgutils.py:455(is_not_null)
      279    0.001    0.000    0.001    0.000 bytecode.py:106(__repr__)
    30/17    0.001    0.000    0.010    0.001 sre_parse.py:436(_parse_sub)
      440    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      202    0.001    0.000    0.001    0.000 types.py:294(__eq__)
      113    0.001    0.000    0.491    0.004 values.py:1003(descr)
       54    0.001    0.000    0.002    0.000 transforms.py:15(visit_BasicBlock)
       57    0.001    0.000    0.006    0.000 base.py:454(insert_unique_const)
      124    0.001    0.000    0.039    0.000 callconv.py:155(_get_arg_packer)
       44    0.001    0.000    0.022    0.001 decorators.py:189(wrapper)
      182    0.001    0.000    0.017    0.000 builder.py:579(icmp_signed)
       34    0.001    0.000    0.001    0.000 __init__.py:837(search)
       32    0.001    0.000    0.001    0.000 inline_closurecall.py:182(_inline_stencil)
      636    0.001    0.000    0.001    0.000 compiler_machinery.py:98(get_analysis_usage)
    90/88    0.001    0.000    0.098    0.001 <frozen importlib._bootstrap>:1038(_gcd_import)
        2    0.001    0.000    0.005    0.002 array_exprs.py:191(apply)
      342    0.001    0.000    0.001    0.000 ir.py:259(define)
      113    0.001    0.000    0.492    0.004 values.py:1010(__str__)
      392    0.001    0.000    0.001    0.000 values.py:1127(is_terminated)
        1    0.001    0.001    0.004    0.004 __init__.py:359(<genexpr>)
       39    0.001    0.000    0.021    0.001 decorators.py:26(jit)
      420    0.001    0.000    0.001    0.000 threading.py:553(is_set)
       92    0.001    0.000    0.008    0.000 pprint.py:235(_pprint_list)
      100    0.001    0.000    0.001    0.000 stride_tricks.py:538(<listcomp>)
      173    0.001    0.000    0.003    0.000 pathlib.py:631(__fspath__)
       45    0.001    0.000    0.001    0.000 byteflow.py:1489(adapt_state_infos)
       13    0.001    0.000    1.387    0.107 codegen.py:781(_finalize_final_module)
        2    0.001    0.000    0.013    0.007 npdatetime.py:1(<module>)
      364    0.001    0.000    0.001    0.000 instructions.py:98(callee)
      230    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      240    0.001    0.000    0.001    0.000 ir.py:1110(get)
      237    0.001    0.000    0.001    0.000 byteflow.py:1303(advance_pc)
      258    0.001    0.000    0.001    0.000 ir_utils.py:2333(is_setup_with)
       13    0.001    0.000    1.750    0.135 codegen.py:667(_optimize_final_module)
      494    0.001    0.000    0.001    0.000 debuginfo.py:70(mark_location)
      180    0.001    0.000    0.001    0.000 instructions.py:106(args)
       74    0.001    0.000    0.001    0.000 types.py:451(_to_string)
       13    0.001    0.000    0.145    0.011 untyped_passes.py:1691(run_pass)
       13    0.001    0.000    0.003    0.000 analysis.py:651(find_literally_calls)
       53    0.001    0.000    0.001    0.000 templates.py:98(__repr__)
       13    0.001    0.000    0.001    0.000 byteflow.py:218(apply_changes)
       75    0.001    0.000    0.001    0.000 context.py:13(__init__)
       10    0.001    0.000    0.084    0.008 callwrapper.py:20(add_arg)
      442    0.001    0.000    0.001    0.000 ir.py:846(get_targets)
       13    0.001    0.000    0.014    0.001 removerefctpass.py:37(_legalize)
       33    0.001    0.000    0.001    0.000 sre_compile.py:292(_optimize_charset)
        8    0.001    0.000    0.002    0.000 templates.py:189(fold_arguments)
     34/7    0.001    0.000    0.001    0.000 array_exprs.py:266(_arr_expr_to_ast)
        8    0.001    0.000    0.032    0.004 models.py:557(_from)
       13    0.001    0.000    0.040    0.003 typeinfer.py:1036(build_constraint)
        3    0.001    0.000    0.001    0.000 options.py:45(_apply)
       13    0.001    0.000    0.004    0.000 compiler.py:593(define_typed_pipeline)
      105    0.001    0.000    0.001    0.000 threading.py:1430(current_thread)
       90    0.001    0.000    0.010    0.000 interpreter.py:1995(op_LOAD_FAST)
       38    0.001    0.000    0.085    0.002 module.py:207(clone)
       45    0.001    0.000    0.001    0.000 byteflow.py:1440(get_outgoing_states)
       26    0.001    0.000    0.129    0.005 __init__.py:32(message_from_string)
       55    0.001    0.000    0.005    0.000 builder.py:539(not_)
       99    0.001    0.000    0.018    0.000 typed_passes.py:661(_do_work_expr)
       71    0.001    0.000    0.006    0.000 itanium_mangler.py:118(<listcomp>)
       22    0.001    0.000    0.002    0.000 values.py:672(descr)
       34    0.001    0.000    0.003    0.000 __init__.py:804(mtime)
      216    0.001    0.000    0.001    0.000 ir.py:708(__str__)
       92    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      219    0.001    0.000    0.001    0.000 itanium_mangler.py:84(_fix_lead_digit)
      195    0.001    0.000    0.001    0.000 __init__.py:119(valid)
       20    0.001    0.000    0.015    0.001 typeof.py:91(_typeof_type)
      346    0.001    0.000    0.001    0.000 {method 'pop' of 'collections.deque' objects}
      124    0.001    0.000    0.001    0.000 __init__.py:100(section_pairs)
      230    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:893(__enter__)
       13    0.001    0.000    0.100    0.008 ssa.py:47(_run_ssa)
      117    0.000    0.000    0.264    0.002 postproc.py:41(usedefs)
        1    0.000    0.000    0.000    0.000 {method 'outer' of 'numpy.ufunc' objects}
       38    0.000    0.000    0.006    0.000 packer.py:115(assign_names)
       76    0.000    0.000    0.006    0.000 instructions.py:202(__init__)
      109    0.000    0.000    0.001    0.000 analysis.py:617(rewrite_tuple_len)
       69    0.000    0.000    0.008    0.000 module.py:248(_dispose)
      161    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:173(__exit__)
      373    0.000    0.000    0.000    0.000 values.py:946(module)
       90    0.000    0.000    0.001    0.000 itanium_mangler.py:74(repl)
       26    0.000    0.000    0.002    0.000 base.py:344(subtarget)
      131    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
      170    0.000    0.000    0.000    0.000 instructions.py:688(<listcomp>)
   127/42    0.000    0.000    0.703    0.017 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
       50    0.000    0.000    0.001    0.000 typeinfer.py:1740(typeof_intrinsic_call)
       61    0.000    0.000    0.001    0.000 compiler_machinery.py:227(_debug_init)
        1    0.000    0.000    0.017    0.017 dictobject.py:1(<module>)
      171    0.000    0.000    0.004    0.000 overload_glue.py:299(wrap)
      370    0.000    0.000    0.000    0.000 value.py:119(is_global)
      338    0.000    0.000    0.000    0.000 tracing.py:205(noevent)
        5    0.000    0.000    0.058    0.012 callconv.py:116(raise_error)
       75    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       81    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:902(_resolve_name)
        9    0.000    0.000    0.014    0.002 npyimpl.py:95(update_indices)
       68    0.000    0.000    0.015    0.000 base.py:1200(_has_loc)
       55    0.000    0.000    0.006    0.000 cgutils.py:957(global_constant)
      209    0.000    0.000    0.000    0.000 utils.py:361(__getitem__)
      143    0.000    0.000    0.014    0.000 controlflow.py:217(_loops)
       13    0.000    0.000    0.001    0.000 bytecode.py:225(_compute_lineno)
      105    0.000    0.000    0.021    0.000 cgutils.py:142(_get_ptr_by_index)
      200    0.000    0.000    0.000    0.000 stride_tricks.py:542(<genexpr>)
       86    0.000    0.000    0.030    0.000 pythonapi.py:1283(_get_function)
      195    0.000    0.000    0.001    0.000 inspect.py:632(_is_wrapper)
      173    0.000    0.000    0.010    0.000 pathlib.py:845(joinpath)
       90    0.000    0.000    0.001    0.000 types.py:454(__eq__)
    68/40    0.000    0.000    1.197    0.030 base.py:1218(wrapper)
       45    0.000    0.000    0.001    0.000 byteflow.py:1553(__init__)
       28    0.000    0.000    0.004    0.000 module.py:89(get_global_variable)
        1    0.000    0.000    0.073    0.073 randomimpl.py:1(<module>)
       44    0.000    0.000    0.001    0.000 ir.py:390(binop)
       62    0.000    0.000    0.001    0.000 cgutils.py:1147(normalize_ir_text)
       18    0.000    0.000    0.002    0.000 codegen.py:32(_parse_refprune_flags)
       73    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
       49    0.000    0.000    0.003    0.000 byteflow.py:1060(_binaryop)
       26    0.000    0.000    0.004    0.000 message.py:213(get_payload)
      203    0.000    0.000    0.000    0.000 fromnumeric.py:3121(ndim)
       13    0.000    0.000    0.005    0.000 ssa.py:160(_run_block_analysis)
      110    0.000    0.000    0.013    0.000 removerefctpass.py:44(valid_output)
      426    0.000    0.000    0.000    0.000 ir.py:809(get_targets)
       39    0.000    0.000    0.004    0.000 module.py:176(global_variables)
      108    0.000    0.000    0.003    0.000 ir.py:1045(__repr__)
      131    0.000    0.000    0.001    0.000 typeinfer.py:1216(<genexpr>)
       44    0.000    0.000    0.005    0.000 interpreter.py:2471(_binop)
    81/79    0.000    0.000    0.098    0.001 __init__.py:10(__getattr__)
       14    0.000    0.000    0.005    0.000 posixpath.py:465(relpath)
       32    0.000    0.000    0.008    0.000 arrayobj.py:39(set_range_metadata)
       48    0.000    0.000    0.001    0.000 functions.py:524(__init__)
      272    0.000    0.000    0.001    0.000 __init__.py:231(<genexpr>)
      138    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
       13    0.000    0.000    0.001    0.000 typeinfer.py:960(__init__)
        9    0.000    0.000    0.001    0.000 extending.py:270(make_attribute_wrapper)
       19    0.000    0.000    0.019    0.001 callconv.py:368(set_static_user_exc)
      254    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       19    0.000    0.000    0.004    0.000 interpreter.py:2640(_op_JUMP_IF)
      202    0.000    0.000    0.001    0.000 byteflow.py:1338(push)
       13    0.000    0.000    0.053    0.004 codegen.py:1087(_load_defined_symbols)
       45    0.000    0.000    0.001    0.000 interpreter.py:1408(_start_new_block)
       13    0.000    0.000    0.005    0.000 untyped_passes.py:140(run_pass)
      202    0.000    0.000    0.001    0.000 byteflow.py:1342(pop)
      126    0.000    0.000    0.001    0.000 templates.py:128(as_function)
       71    0.000    0.000    0.003    0.000 values.py:592(__init__)
      372    0.000    0.000    0.000    0.000 types.py:105(_to_string)
        8    0.000    0.000    0.010    0.001 functools.py:745(<listcomp>)
       78    0.000    0.000    0.008    0.000 message.py:588(get_content_maintype)
       40    0.000    0.000    0.012    0.000 cgutils.py:166(__getitem__)
      173    0.000    0.000    0.000    0.000 pathlib.py:94(join_parsed_parts)
        1    0.000    0.000    0.011    0.011 listobject.py:1(<module>)
     13/2    0.000    0.000    5.383    2.692 lowering.py:163(lower)
       13    0.000    0.000    0.036    0.003 ir.py:1528(dump)
       75    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      148    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:391(cached)
       30    0.000    0.000    0.001    0.000 npyimpl.py:504(register_binary_operator_kernel)
       13    0.000    0.000    0.003    0.000 byteflow.py:152(_build_cfg)
      217    0.000    0.000    0.000    0.000 {built-in method _ctypes.byref}
        8    0.000    0.000    0.013    0.002 functools.py:732(_compose_mro)
       28    0.000    0.000    0.002    0.000 models.py:545(<listcomp>)
       20    0.000    0.000    0.003    0.000 typed_passes.py:855(<listcomp>)
